[03:31:37] [INFO] [1779737497.430785]: ==================================================
[03:31:37] [INFO] [1779737497.440469]: [Fusion] 節點啟動
[03:31:37] [INFO] [1779737497.443352]: [Fusion] 防守線 Y = 0.50 m
[03:31:37] [INFO] [1779737497.446701]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[03:31:37] [INFO] [1779737497.449373]: [Fusion] 發布 /cmd_vel
[03:31:37] [INFO] [1779737497.452009]: ==================================================
[03:31:37] [INFO] [1779737497.473494]: [Fusion] odom 原點記錄：X=-1.684
[03:31:37] [33m[WARN] [1779737497.479860]: [Fusion] 定位收斂！var_x=0.0017 → 切換至絕對位置控制
[03:31:59] [INFO] [1779737519.082323]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:59] [INFO] [1779737519.282810]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:59] [INFO] [1779737519.498150]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:59] [INFO] [1779737519.732577]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:31:59] [INFO] [1779737519.942522]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:32:00] [INFO] [1779737520.195152]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.05 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:00] [INFO] [1779737520.415410]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:00] [INFO] [1779737520.633001]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:00] [INFO] [1779737520.834808]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:01] [INFO] [1779737521.065374]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:01] [INFO] [1779737521.281558]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:01] [INFO] [1779737521.482028]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:01] [INFO] [1779737521.710776]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:01] [INFO] [1779737521.926898]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:02] [INFO] [1779737522.131236]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:32:02] [INFO] [1779737522.341617]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:32:02] [INFO] [1779737522.569174]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:32:02] [INFO] [1779737522.782110]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:02] [INFO] [1779737522.982463]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:03] [INFO] [1779737523.221287]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:03] [INFO] [1779737523.431512]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:03] [INFO] [1779737523.638327]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:03] [INFO] [1779737523.870733]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:04] [INFO] [1779737524.083079]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.013
[03:32:04] [INFO] [1779737524.283402]: [TRACK] 球(-0.03, 1.76) v=(-0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:04] [INFO] [1779737524.517670]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:04] [INFO] [1779737524.728524]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:04] [INFO] [1779737524.933018]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:05] [INFO] [1779737525.144977]: [TRACK] 球(-0.03, 1.76) v=(+0.00, -0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.015
[03:32:05] [INFO] [1779737525.362976]: [TRACK] 球(-0.03, 1.76) v=(+0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
[03:32:05] [INFO] [1779737525.581162]: [TRACK] 球(-0.03, 1.76) v=(-0.00, +0.00) | 機器人X=-0.04 誤差=+0.01 | 速度=+0.00 θ=+0.014
